T[ms];I[A];U[V];P[W]
5509;36,61;3,268;119,6415
5510;36,61;3,268;119,6415
5511;36,61;3,307;121,0693
5512;36,61;3,268;119,6415
5513;37,01;3,268;120,9487
5514;36,61;3,307;121,0693
5515;36,22;3,346;121,1921
5516;36,61;3,268;119,6415
5517;36,61;3,268;119,6415
5518;36,61;3,307;121,0693
5519;36,61;3,307;121,0693
5520;36,22;3,346;121,1921
5521;36,61;3,346;122,4971
5522;36,61;3,268;119,6415
5523;37,01;3,268;120,9487
5524;36,61;3,307;121,0693
5525;36,61;3,346;122,4971
5526;36,61;3,307;121,0693
5527;36,61;3,268;119,6415
5528;36,61;3,268;119,6415
5529;36,61;3,307;121,0693
5530;36,61;3,346;122,4971
5531;36,61;3,268;119,6415
5532;36,61;3,268;119,6415
5533;37,01;3,268;120,9487
5534;36,61;3,307;121,0693
5535;36,61;3,346;122,4971
5536;36,61;3,268;119,6415
5537;36,61;3,268;119,6415
5538;36,61;3,268;119,6415
5539;36,61;3,307;121,0693
5540;36,61;3,307;121,0693
5541;36,61;3,346;122,4971
5542;36,61;3,268;119,6415
5543;37,01;3,268;120,9487
5544;36,61;3,268;119,6415
5545;36,61;3,346;122,4971
5546;36,61;3,346;122,4971
5547;36,61;3,268;119,6415
5548;36,61;3,268;119,6415
5549;36,61;3,268;119,6415
5550;36,61;3,307;121,0693
5551;36,61;3,268;119,6415
5552;36,61;3,268;119,6415
5553;36,61;3,268;119,6415
5554;36,61;3,268;119,6415
5555;36,61;3,307;121,0693
5556;36,61;3,268;119,6415
5557;36,61;3,268;119,6415
5558;36,61;3,268;119,6415
5559;36,61;3,307;121,0693
5560;36,61;3,307;121,0693
5561;36,61;3,346;122,4971
5562;36,61;3,307;121,0693
5563;36,61;3,307;121,0693
5564;36,61;3,346;122,4971
5565;36,61;3,346;122,4971
5566;36,61;3,307;121,0693
5567;36,61;3,346;122,4971
5568;36,61;3,346;122,4971
5569;37,01;3,346;123,8355
5570;36,61;3,346;122,4971
5571;36,61;3,346;122,4971
5572;36,61;3,307;121,0693
5573;37,01;3,307;122,3921
5574;36,61;3,268;119,6415
5575;36,61;3,346;122,4971
5576;36,61;3,346;122,4971
5577;36,61;3,268;119,6415
5578;36,61;3,228;118,1771
5579;36,61;3,268;119,6415
5580;36,61;3,307;121,0693
5581;36,61;3,346;122,4971
5582;36,61;3,268;119,6415
5583;36,61;3,268;119,6415
5584;36,61;3,268;119,6415
5585;36,61;3,346;122,4971
5586;36,61;3,346;122,4971
5587;36,61;3,268;119,6415
5588;36,61;3,307;121,0693
5589;36,61;3,307;121,0693
5590;36,61;3,346;122,4971
5591;36,61;3,386;123,9615
5592;36,61;3,268;119,6415
5593;37,01;3,268;120,9487
5594;36,61;3,346;122,4971
5595;36,61;3,268;119,6415
5596;36,61;3,346;122,4971
5597;36,61;3,268;119,6415
5598;37,01;3,268;120,9487
5599;36,61;3,307;121,0693
5600;36,61;3,307;121,0693
5601;36,61;3,268;119,6415
5602;36,61;3,268;119,6415
5603;36,61;3,268;119,6415
5604;37,01;3,268;120,9487
5605;36,61;3,268;119,6415
5606;36,61;3,346;122,4971
5607;36,61;3,307;121,0693
5608;36,61;3,307;121,0693
5609;36,61;3,307;121,0693
5610;36,61;3,425;125,3892
5611;36,61;3,346;122,4971
5612;36,61;3,346;122,4971
5613;36,61;3,307;121,0693
5614;36,61;3,346;122,4971
5615;36,61;3,346;122,4971
5616;36,61;3,307;121,0693
5617;36,61;3,346;122,4971
5618;37,01;3,346;123,8355
5619;36,61;3,346;122,4971
5620;36,61;3,346;122,4971
5621;36,61;3,346;122,4971
5622;36,61;3,346;122,4971
5623;36,61;3,346;122,4971
5624;37,01;3,346;123,8355
5625;36,22;3,346;121,1921
5626;36,61;3,346;122,4971
5627;36,61;3,346;122,4971
5628;36,61;3,268;119,6415
5629;36,61;3,268;119,6415
5630;36,61;3,346;122,4971
5631;36,22;3,268;118,367
5632;36,61;3,346;122,4971
5633;36,61;3,307;121,0693
5634;36,61;3,307;121,0693
5635;36,61;3,346;122,4971
5636;36,61;3,346;122,4971
5637;36,61;3,307;121,0693
5638;36,61;3,307;121,0693
5639;37,01;3,346;123,8355
5640;36,61;3,346;122,4971
5641;36,61;3,386;123,9615
5642;36,61;3,346;122,4971
5643;36,61;3,346;122,4971
5644;36,61;3,346;122,4971
5645;36,61;3,346;122,4971
5646;36,61;3,346;122,4971
5647;36,61;3,346;122,4971
5648;36,61;3,268;119,6415
5649;36,61;3,307;121,0693
5650;36,61;3,307;121,0693
5651;36,22;3,386;122,6409
5652;36,61;3,307;121,0693
5653;36,61;3,346;122,4971
5654;36,61;3,268;119,6415
5655;36,61;3,346;122,4971
5656;36,61;3,189;116,7493
5657;36,61;3,346;122,4971
5658;36,61;3,307;121,0693
5659;36,61;3,346;122,4971
5660;36,61;3,346;122,4971
5661;36,61;3,307;121,0693
5662;36,61;3,346;122,4971
5663;36,61;3,268;119,6415
5664;36,61;3,346;122,4971
5665;36,61;3,346;122,4971
5666;36,61;3,346;122,4971
5667;36,61;3,346;122,4971
5668;36,61;3,346;122,4971
5669;36,61;3,346;122,4971
5670;36,61;3,386;123,9615
5671;36,61;3,386;123,9615
5672;36,61;3,346;122,4971
5673;36,61;3,268;119,6415
5674;36,61;3,346;122,4971
5675;36,61;3,346;122,4971
5676;36,61;3,346;122,4971
5677;36,61;3,346;122,4971
5678;36,61;3,307;121,0693
5679;36,61;3,307;121,0693
5680;36,61;3,346;122,4971
5681;36,61;3,386;123,9615
5682;36,61;3,346;122,4971
5683;36,61;3,307;121,0693
5684;36,61;3,268;119,6415
5685;36,61;3,346;122,4971
5686;36,61;3,346;122,4971
5687;36,61;3,346;122,4971
5688;36,61;3,346;122,4971
5689;36,61;3,346;122,4971
5690;36,61;3,346;122,4971
5691;36,61;3,346;122,4971
5692;36,61;3,346;122,4971
5693;36,61;3,386;123,9615
5694;36,61;3,307;121,0693
5695;36,61;3,346;122,4971
5696;36,61;3,346;122,4971
5697;36,22;3,346;121,1921
5698;36,61;3,346;122,4971
5699;36,61;3,268;119,6415
5700;36,61;3,346;122,4971
5701;36,61;3,346;122,4971
5702;36,61;3,346;122,4971
5703;36,61;3,307;121,0693
5704;37,01;3,307;122,3921
5705;36,61;3,307;121,0693
5706;36,61;3,346;122,4971
5707;36,61;3,346;122,4971
5708;36,61;3,307;121,0693
5709;36,61;3,307;121,0693
5710;36,61;3,346;122,4971
5711;36,61;3,386;123,9615
5712;36,61;3,386;123,9615
5713;36,61;3,268;119,6415
5714;36,61;3,346;122,4971
5715;36,61;3,346;122,4971
5716;36,61;3,386;123,9615
5717;36,61;3,386;123,9615
5718;36,61;3,346;122,4971
5719;36,61;3,346;122,4971
5720;36,61;3,346;122,4971
5721;36,61;3,346;122,4971
5722;36,61;3,346;122,4971
5723;36,61;3,346;122,4971
5724;36,61;3,346;122,4971
5725;36,61;3,346;122,4971
5726;36,61;3,386;123,9615
5727;36,61;3,346;122,4971
5728;36,61;3,307;121,0693
5729;36,61;3,268;119,6415
5730;36,61;3,346;122,4971
5731;36,61;3,346;122,4971
5732;36,61;3,346;122,4971
5733;36,61;3,346;122,4971
5734;36,61;3,346;122,4971
5735;36,61;3,346;122,4971
5736;36,61;3,386;123,9615
5737;36,61;3,346;122,4971
5738;36,61;3,346;122,4971
5739;36,61;3,386;123,9615
5740;36,61;3,346;122,4971
5741;36,61;3,386;123,9615
5742;36,61;3,386;123,9615
5743;36,61;3,346;122,4971
5744;36,61;3,307;121,0693
5745;36,61;3,346;122,4971
5746;36,61;3,386;123,9615
5747;36,61;3,386;123,9615
5748;36,61;3,386;123,9615
5749;36,61;3,346;122,4971
5750;36,61;3,346;122,4971
5751;36,61;3,346;122,4971
5752;36,61;3,346;122,4971
5753;36,61;3,307;121,0693
5754;37,01;3,346;123,8355
5755;36,61;3,346;122,4971
5756;36,61;3,346;122,4971
5757;36,61;3,346;122,4971
5758;36,61;3,346;122,4971
5759;36,61;3,268;119,6415
5760;36,61;3,346;122,4971
5761;36,61;3,386;123,9615
5762;36,61;3,386;123,9615
5763;36,61;3,386;123,9615
5764;37,01;3,386;125,3159
5765;36,61;3,386;123,9615
5766;36,61;3,386;123,9615
5767;36,61;3,386;123,9615
5768;36,61;3,346;122,4971
5769;37,01;3,386;125,3159
5770;36,61;3,386;123,9615
5771;36,61;3,386;123,9615
5772;36,61;3,386;123,9615
5773;36,61;3,346;122,4971
5774;36,61;3,346;122,4971
5775;36,61;3,346;122,4971
5776;36,61;3,386;123,9615
5777;36,61;3,386;123,9615
5778;36,61;3,346;122,4971
5779;36,61;3,346;122,4971
5780;36,61;3,346;122,4971
5781;36,61;3,386;123,9615
5782;36,22;3,386;122,6409
5783;36,61;3,346;122,4971
5784;36,61;3,346;122,4971
5785;36,61;3,346;122,4971
5786;36,61;3,346;122,4971
5787;36,61;3,386;123,9615
5788;36,61;3,346;122,4971
5789;36,61;3,346;122,4971
5790;36,61;3,346;122,4971
5791;36,61;3,346;122,4971
5792;36,22;3,386;122,6409
5793;36,61;3,346;122,4971
5794;36,61;3,346;122,4971
5795;36,61;3,346;122,4971
5796;36,61;3,346;122,4971
5797;36,61;3,346;122,4971
5798;36,61;3,386;123,9615
5799;36,61;3,307;121,0693
5800;36,61;3,346;122,4971
5801;36,61;3,386;123,9615
5802;36,61;3,346;122,4971
5803;36,61;3,346;122,4971
5804;37,01;3,268;120,9487
5805;36,61;3,307;121,0693
5806;36,61;3,346;122,4971
5807;36,22;3,386;122,6409
5808;36,61;3,346;122,4971
5809;36,61;3,307;121,0693
5810;36,61;3,346;122,4971
5811;36,61;3,346;122,4971
5812;36,61;3,386;123,9615
5813;36,61;3,386;123,9615
5814;36,61;3,307;121,0693
5815;36,61;3,346;122,4971
5816;36,61;3,386;123,9615
5817;36,61;3,346;122,4971
5818;36,61;3,386;123,9615
5819;36,61;3,268;119,6415
5820;36,61;3,346;122,4971
5821;36,61;3,386;123,9615
5822;36,61;3,425;125,3892
5823;36,61;3,386;123,9615
5824;37,01;3,307;122,3921
5825;36,61;3,346;122,4971
5826;36,61;3,346;122,4971
5827;36,61;3,386;123,9615
5828;36,61;3,346;122,4971
5829;37,01;3,346;123,8355
5830;36,61;3,346;122,4971
5831;36,61;3,386;123,9615
5832;36,61;3,346;122,4971
5833;36,61;3,386;123,9615
5834;36,61;3,346;122,4971
5835;36,61;3,346;122,4971
5836;36,61;3,346;122,4971
5837;36,61;3,386;123,9615
5838;36,61;3,386;123,9615
5839;36,61;3,386;123,9615
5840;36,61;3,386;123,9615
5841;36,61;3,386;123,9615
5842;36,22;3,425;124,0535
5843;36,61;3,386;123,9615
5844;36,61;3,346;122,4971
5845;36,61;3,346;122,4971
5846;36,61;3,346;122,4971
5847;36,22;3,386;122,6409
5848;36,61;3,346;122,4971
5849;36,61;3,307;121,0693
5850;37,01;3,346;123,8355
5851;36,61;3,386;123,9615
5852;36,61;3,307;121,0693
5853;36,61;3,307;121,0693
5854;37,01;3,346;123,8355
5855;36,61;3,346;122,4971
5856;36,61;3,346;122,4971
5857;36,61;3,504;128,2814
5858;36,61;3,346;122,4971
5859;36,61;3,386;123,9615
5860;36,61;3,386;123,9615
5861;36,61;3,346;122,4971
5862;36,61;3,268;119,6415
5863;36,61;3,386;123,9615
5864;36,61;3,346;122,4971
5865;37,01;3,386;125,3159
5866;36,61;3,386;123,9615
5867;36,61;3,386;123,9615
5868;36,61;3,386;123,9615
5869;36,61;3,346;122,4971
5870;36,61;3,386;123,9615
5871;36,61;3,386;123,9615
5872;36,22;3,425;124,0535
5873;36,61;3,346;122,4971
5874;36,61;3,425;125,3892
5875;36,61;3,346;122,4971
5876;36,61;3,386;123,9615
5877;36,22;3,386;122,6409
5878;36,61;3,346;122,4971
5879;36,61;3,346;122,4971
5880;36,61;3,346;122,4971
5881;36,61;3,386;123,9615
5882;36,61;3,386;123,9615
5883;36,61;3,386;123,9615
5884;36,61;3,346;122,4971
5885;37,01;3,386;125,3159
5886;36,61;3,386;123,9615
5887;36,61;3,425;125,3892
5888;36,61;3,386;123,9615
5889;36,61;3,346;122,4971
5890;36,61;3,386;123,9615
5891;36,61;3,386;123,9615
5892;36,22;3,386;122,6409
5893;36,61;3,386;123,9615
5894;36,61;3,346;122,4971
5895;37,01;3,346;123,8355
5896;36,61;3,386;123,9615
5897;36,61;3,386;123,9615
5898;36,61;3,386;123,9615
5899;36,61;3,346;122,4971
5900;36,61;3,346;122,4971
5901;36,61;3,386;123,9615
5902;36,61;3,386;123,9615
5903;36,61;3,386;123,9615
5904;36,61;3,307;121,0693
5905;36,61;3,346;122,4971
5906;36,61;3,386;123,9615
5907;36,61;3,386;123,9615
5908;36,61;3,386;123,9615
5909;36,61;3,386;123,9615
5910;36,61;3,386;123,9615
5911;36,61;3,386;123,9615
5912;36,61;3,386;123,9615
5913;36,61;3,425;125,3892
5914;36,61;3,386;123,9615
5915;36,61;3,346;122,4971
5916;36,61;3,386;123,9615
5917;36,22;3,386;122,6409
5918;36,61;3,386;123,9615
5919;36,61;3,346;122,4971
5920;36,61;3,386;123,9615
5921;36,61;3,386;123,9615
5922;36,22;3,425;124,0535
5923;36,61;3,386;123,9615
5924;36,61;3,346;122,4971
5925;36,61;3,386;123,9615
5926;36,61;3,386;123,9615
5927;36,22;3,386;122,6409
5928;36,61;3,386;123,9615
5929;36,61;3,386;123,9615
5930;36,61;3,346;122,4971
5931;36,61;3,386;123,9615
5932;36,61;3,386;123,9615
5933;36,61;3,386;123,9615
5934;36,61;3,386;123,9615
5935;36,61;3,386;123,9615
5936;36,61;3,386;123,9615
5937;36,61;3,386;123,9615
5938;36,61;3,386;123,9615
5939;36,61;3,386;123,9615
5940;36,61;3,386;123,9615
5941;36,61;3,386;123,9615
5942;36,61;3,425;125,3892
5943;36,22;3,425;124,0535
5944;36,61;3,386;123,9615
5945;37,01;3,346;123,8355
5946;36,61;3,386;123,9615
5947;36,61;3,425;125,3892
5948;36,61;3,386;123,9615
5949;36,61;3,346;122,4971
5950;36,61;3,346;122,4971
5951;36,61;3,386;123,9615
5952;36,61;3,386;123,9615
5953;36,61;3,386;123,9615
5954;36,61;3,386;123,9615
5955;37,01;3,268;120,9487
5956;36,61;3,346;122,4971
5957;36,61;3,425;125,3892
5958;36,22;3,386;122,6409
5959;36,61;3,346;122,4971
5960;36,61;3,386;123,9615
5961;36,61;3,386;123,9615
5962;36,22;3,425;124,0535
5963;36,22;3,425;124,0535
5964;36,61;3,386;123,9615
5965;36,61;3,268;119,6415
5966;36,61;3,386;123,9615
5967;36,61;3,425;125,3892
5968;36,61;3,425;125,3892
5969;36,61;3,425;125,3892
5970;37,01;3,425;126,7592
5971;36,61;3,425;125,3892
5972;36,61;3,425;125,3892
5973;36,61;3,386;123,9615
5974;36,61;3,386;123,9615
5975;36,61;3,386;123,9615
5976;36,61;3,386;123,9615
5977;36,61;3,386;123,9615
5978;36,61;3,425;125,3892
5979;36,61;3,386;123,9615
5980;36,61;3,346;122,4971
5981;36,61;3,386;123,9615
5982;36,61;3,386;123,9615
5983;36,61;3,386;123,9615
5984;36,61;3,386;123,9615
5985;36,61;3,425;125,3892
5986;36,61;3,346;122,4971
5987;36,61;3,386;123,9615
5988;36,61;3,425;125,3892
5989;36,61;3,386;123,9615
5990;36,61;3,425;125,3892
5991;36,61;3,386;123,9615
5992;36,61;3,425;125,3892
5993;36,61;3,425;125,3892
5994;36,61;3,386;123,9615
5995;36,61;3,386;123,9615
5996;37,01;3,386;125,3159
5997;36,61;3,425;125,3892
5998;36,22;3,425;124,0535
5999;36,61;3,346;122,4971
6000;36,61;3,346;122,4971
6001;36,61;3,386;123,9615
6002;36,61;3,386;123,9615
6003;36,61;3,386;123,9615
6004;36,61;3,386;123,9615
6005;36,61;3,346;122,4971
6006;36,61;3,386;123,9615
6007;36,61;3,386;123,9615
6008;36,61;3,386;123,9615
6009;36,61;3,386;123,9615
6010;36,61;3,386;123,9615
6011;36,61;3,386;123,9615
6012;36,61;3,425;125,3892
6013;36,61;3,425;125,3892
6014;36,61;3,425;125,3892
6015;36,61;3,386;123,9615
6016;36,61;3,425;125,3892
6017;36,61;3,425;125,3892
6018;36,61;3,386;123,9615
6019;36,61;3,425;125,3892
6020;36,61;3,346;122,4971
6021;36,61;3,386;123,9615
6022;36,61;3,425;125,3892
6023;36,22;3,386;122,6409
6024;36,61;3,425;125,3892
6025;36,61;3,386;123,9615
6026;36,61;3,386;123,9615
6027;36,61;3,425;125,3892
6028;36,22;3,425;124,0535
6029;36,61;3,386;123,9615
6030;36,61;3,346;122,4971
6031;36,61;3,386;123,9615
6032;36,61;3,425;125,3892
6033;36,61;3,386;123,9615
6034;36,22;3,425;124,0535
6035;36,61;3,346;122,4971
6036;36,61;3,386;123,9615
6037;36,61;3,386;123,9615
6038;36,61;3,425;125,3892
6039;36,61;3,386;123,9615
6040;36,61;3,346;122,4971
6041;36,61;3,386;123,9615
6042;36,61;3,425;125,3892
6043;36,61;3,425;125,3892
6044;36,61;3,386;123,9615
6045;36,61;3,346;122,4971
6046;36,61;3,386;123,9615
6047;36,61;3,386;123,9615
6048;36,22;3,425;124,0535
6049;36,61;3,386;123,9615
6050;36,61;3,386;123,9615
6051;37,01;3,386;125,3159
6052;36,61;3,386;123,9615
6053;36,61;3,346;122,4971
6054;36,61;3,386;123,9615
6055;36,61;3,346;122,4971
6056;36,61;3,386;123,9615
6057;36,61;3,386;123,9615
6058;36,61;3,543;129,7092
6059;36,61;3,346;122,4971
6060;36,61;3,425;125,3892
6061;36,61;3,386;123,9615
6062;36,61;3,425;125,3892
6063;36,22;3,268;118,367
6064;36,61;3,425;125,3892
6065;36,61;3,386;123,9615
6066;36,61;3,425;125,3892
6067;36,61;3,425;125,3892
6068;36,22;3,386;122,6409
6069;36,61;3,425;125,3892
6070;36,61;3,386;123,9615
6071;36,61;3,386;123,9615
6072;36,61;3,425;125,3892
6073;36,22;3,425;124,0535
6074;36,22;3,386;122,6409
6075;36,61;3,386;123,9615
6076;36,61;3,386;123,9615
6077;36,61;3,425;125,3892
6078;36,61;3,425;125,3892
6079;36,61;3,425;125,3892
6080;36,61;3,346;122,4971
6081;36,61;3,425;125,3892
6082;36,61;3,386;123,9615
6083;36,22;3,425;124,0535
6084;36,61;3,425;125,3892
6085;36,61;3,386;123,9615
6086;36,61;3,386;123,9615
6087;36,61;3,425;125,3892
6088;36,61;3,346;122,4971
6089;36,61;3,425;125,3892
6090;36,61;3,346;122,4971
6091;36,61;3,346;122,4971
6092;36,61;3,386;123,9615
6093;36,61;3,465;126,8536
6094;36,61;3,425;125,3892
6095;36,61;3,425;125,3892
6096;36,61;3,386;123,9615
6097;36,61;3,425;125,3892
6098;36,61;3,425;125,3892
6099;36,61;3,425;125,3892
6100;36,61;3,386;123,9615
6101;36,61;3,386;123,9615
6102;36,61;3,386;123,9615
6103;36,61;3,425;125,3892
6104;36,61;3,386;123,9615
6105;36,61;3,386;123,9615
6106;36,61;3,346;122,4971
6107;36,61;3,386;123,9615
6108;36,61;3,425;125,3892
6109;36,61;3,425;125,3892
6110;36,61;3,425;125,3892
6111;36,61;3,386;123,9615
6112;36,61;3,425;125,3892
6113;36,61;3,425;125,3892
6114;36,61;3,425;125,3892
6115;36,61;3,307;121,0693
6116;36,61;3,425;125,3892
6117;36,61;3,425;125,3892
6118;36,61;3,425;125,3892
6119;36,61;3,425;125,3892
6120;36,61;3,386;123,9615
6121;36,61;3,386;123,9615
6122;36,61;3,425;125,3892
6123;36,61;3,425;125,3892
6124;36,61;3,425;125,3892
6125;36,61;3,386;123,9615
6126;36,61;3,425;125,3892
6127;36,61;3,386;123,9615
6128;36,61;3,425;125,3892
6129;36,61;3,425;125,3892
6130;36,61;3,386;123,9615
6131;36,61;3,386;123,9615
6132;36,61;3,425;125,3892
6133;36,61;3,425;125,3892
6134;36,22;3,425;124,0535
6135;36,61;3,425;125,3892
6136;37,01;3,386;125,3159
6137;36,61;3,425;125,3892
6138;36,22;3,425;124,0535
6139;36,61;3,425;125,3892
6140;36,61;3,425;125,3892
6141;36,61;3,425;125,3892
6142;36,61;3,425;125,3892
6143;36,61;3,425;125,3892
6144;36,22;3,425;124,0535
6145;36,61;3,425;125,3892
6146;36,61;3,425;125,3892
6147;36,61;3,425;125,3892
6148;36,61;3,425;125,3892
6149;36,61;3,425;125,3892
6150;36,61;3,425;125,3892
6151;36,61;3,346;122,4971
6152;36,61;3,386;123,9615
6153;36,61;3,425;125,3892
6154;36,61;3,425;125,3892
6155;36,61;3,386;123,9615
6156;36,61;3,346;122,4971
6157;36,61;3,425;125,3892
6158;36,61;3,425;125,3892
6159;36,61;3,425;125,3892
6160;36,61;3,425;125,3892
6161;36,61;3,425;125,3892
6162;36,61;3,425;125,3892
6163;36,61;3,425;125,3892
6164;36,61;3,425;125,3892
6165;36,61;3,425;125,3892
6166;36,61;3,307;121,0693
6167;36,61;3,425;125,3892
6168;36,61;3,425;125,3892
6169;36,61;3,465;126,8536
6170;36,61;3,425;125,3892
6171;36,61;3,386;123,9615
6172;36,61;3,425;125,3892
6173;36,61;3,425;125,3892
6174;36,61;3,425;125,3892
6175;36,61;3,425;125,3892
6176;36,61;3,425;125,3892
6177;36,61;3,425;125,3892
6178;36,61;3,425;125,3892
6179;36,61;3,425;125,3892
6180;36,61;3,425;125,3892
6181;36,61;3,386;123,9615
6182;36,61;3,425;125,3892
6183;36,61;3,425;125,3892
6184;36,61;3,425;125,3892
6185;36,61;3,386;123,9615
6186;36,61;3,346;122,4971
6187;36,61;3,425;125,3892
6188;36,61;3,425;125,3892
6189;36,61;3,425;125,3892
6190;36,61;3,425;125,3892
6191;36,61;3,425;125,3892
6192;36,61;3,425;125,3892
6193;36,22;3,425;124,0535
6194;36,61;3,425;125,3892
6195;36,61;3,425;125,3892
6196;36,61;3,386;123,9615
6197;36,61;3,386;123,9615
6198;36,61;3,425;125,3892
6199;36,22;3,425;124,0535
6200;36,61;3,386;123,9615
6201;37,01;3,346;123,8355
6202;36,61;3,386;123,9615
6203;36,61;3,425;125,3892
6204;36,61;3,425;125,3892
6205;36,61;3,386;123,9615
6206;36,61;3,386;123,9615
6207;36,61;3,386;123,9615
6208;36,61;3,425;125,3892
6209;36,61;3,425;125,3892
6210;36,61;3,425;125,3892
6211;36,61;3,386;123,9615
6212;36,61;3,425;125,3892
6213;36,61;3,425;125,3892
6214;36,61;3,425;125,3892
6215;36,61;3,425;125,3892
6216;36,61;3,425;125,3892
6217;36,61;3,425;125,3892
6218;36,61;3,425;125,3892
6219;36,22;3,425;124,0535
6220;36,61;3,425;125,3892
6221;36,61;3,386;123,9615
6222;36,61;3,425;125,3892
6223;36,61;3,425;125,3892
6224;36,61;3,386;123,9615
6225;36,61;3,425;125,3892
6226;36,61;3,386;123,9615
6227;36,61;3,425;125,3892
6228;36,61;3,425;125,3892
6229;36,22;3,425;124,0535
6230;36,61;3,425;125,3892
6231;36,61;3,425;125,3892
6232;36,61;3,425;125,3892
6233;36,61;3,425;125,3892
6234;36,22;3,425;124,0535
6235;36,61;3,425;125,3892
6236;36,61;3,386;123,9615
6237;36,61;3,425;125,3892
6238;36,61;3,425;125,3892
6239;36,61;3,425;125,3892
6240;36,61;3,425;125,3892
6241;36,61;3,386;123,9615
6242;36,61;3,425;125,3892
6243;36,61;3,425;125,3892
6244;36,22;3,425;124,0535
6245;36,61;3,425;125,3892
6246;36,61;3,425;125,3892
6247;36,61;3,425;125,3892
6248;36,61;3,425;125,3892
6249;36,61;3,425;125,3892
6250;36,61;3,425;125,3892
6251;36,61;3,386;123,9615
6252;37,01;3,386;125,3159
6253;36,61;3,465;126,8536
6254;36,61;3,346;122,4971
6255;36,61;3,425;125,3892
6256;36,61;3,386;123,9615
6257;37,01;3,386;125,3159
6258;36,61;3,425;125,3892
6259;36,22;3,425;124,0535
6260;36,22;3,425;124,0535
6261;36,61;3,346;122,4971
6262;36,61;3,425;125,3892
6263;36,61;3,425;125,3892
6264;36,61;3,583;131,1736
6265;36,61;3,425;125,3892
6266;36,61;3,425;125,3892
6267;36,61;3,425;125,3892
6268;36,61;3,425;125,3892
6269;36,61;3,386;123,9615
6270;36,61;3,425;125,3892
6271;36,61;3,425;125,3892
6272;36,61;3,425;125,3892
6273;36,61;3,425;125,3892
6274;36,22;3,425;124,0535
6275;36,61;3,425;125,3892
6276;36,61;3,425;125,3892
6277;36,61;3,425;125,3892
6278;36,61;3,425;125,3892
6279;36,22;3,465;125,5023
6280;36,61;3,425;125,3892
6281;36,61;3,425;125,3892
6282;36,61;3,425;125,3892
6283;36,61;3,425;125,3892
6284;36,22;3,465;125,5023
6285;36,61;3,425;125,3892
6286;36,61;3,386;123,9615
6287;36,61;3,425;125,3892
6288;36,61;3,425;125,3892
6289;36,61;3,465;126,8536
6290;36,22;3,425;124,0535
6291;36,61;3,425;125,3892
6292;36,61;3,425;125,3892
6293;36,61;3,425;125,3892
6294;36,61;3,386;123,9615
6295;36,61;3,425;125,3892
6296;36,61;3,425;125,3892
6297;37,01;3,425;126,7592
6298;36,61;3,425;125,3892
6299;36,61;3,425;125,3892
6300;36,61;3,425;125,3892
6301;36,61;3,425;125,3892
6302;37,01;3,386;125,3159
6303;36,61;3,425;125,3892
6304;36,61;3,425;125,3892
6305;36,61;3,425;125,3892
6306;36,61;3,425;125,3892
6307;36,61;3,386;123,9615
6308;36,61;3,425;125,3892
6309;36,22;3,425;124,0535
6310;36,61;3,425;125,3892
6311;36,61;3,346;122,4971
6312;36,61;3,425;125,3892
6313;36,61;3,425;125,3892
6314;36,61;3,465;126,8536
6315;36,22;3,465;125,5023
6316;36,61;3,425;125,3892
6317;37,01;3,425;126,7592
6318;36,61;3,425;125,3892
6319;36,22;3,425;124,0535
6320;36,61;3,425;125,3892
6321;36,61;3,425;125,3892
6322;36,61;3,425;125,3892
6323;36,61;3,425;125,3892
6324;36,22;3,425;124,0535
6325;36,22;3,425;124,0535
6326;36,61;3,425;125,3892
6327;36,61;3,425;125,3892
6328;36,61;3,425;125,3892
6329;36,61;3,425;125,3892
6330;36,61;3,425;125,3892
6331;36,61;3,425;125,3892
6332;36,61;3,425;125,3892
6333;36,61;3,425;125,3892
6334;36,61;3,425;125,3892
6335;36,61;3,425;125,3892
6336;36,61;3,425;125,3892
6337;36,61;3,425;125,3892
6338;36,61;3,425;125,3892
6339;36,61;3,465;126,8536
6340;36,61;3,425;125,3892
6341;36,61;3,425;125,3892
6342;36,61;3,425;125,3892
6343;36,61;3,425;125,3892
6344;36,61;3,504;128,2814
6345;36,61;3,425;125,3892
6346;36,61;3,425;125,3892
6347;36,61;3,425;125,3892
6348;36,61;3,425;125,3892
6349;36,61;3,425;125,3892
6350;36,61;3,425;125,3892
6351;36,61;3,425;125,3892
6352;36,61;3,386;123,9615
6353;36,61;3,425;125,3892
6354;36,61;3,425;125,3892
6355;36,61;3,425;125,3892
6356;36,61;3,425;125,3892
6357;37,01;3,386;125,3159
6358;36,61;3,425;125,3892
6359;36,61;3,425;125,3892
6360;36,22;3,425;124,0535
6361;36,61;3,425;125,3892
6362;36,61;3,465;126,8536
6363;36,61;3,425;125,3892
6364;36,22;3,504;126,9149
6365;36,61;3,504;128,2814
6366;36,61;3,425;125,3892
6367;36,61;3,425;125,3892
6368;36,61;3,465;126,8536
6369;36,61;3,425;125,3892
6370;36,61;3,425;125,3892
6371;36,61;3,425;125,3892
6372;37,01;3,425;126,7592
6373;36,61;3,425;125,3892
6374;36,61;3,465;126,8536
6375;36,61;3,425;125,3892
6376;36,61;3,425;125,3892
6377;36,61;3,386;123,9615
6378;36,61;3,425;125,3892
6379;36,61;3,425;125,3892
6380;36,61;3,504;128,2814
6381;36,61;3,425;125,3892
6382;36,61;3,386;123,9615
